EventTime	Type	Energy_MeV	Time_ns
2449	proton	0.086663	13.979449
2449	proton	0.065642	11.243818
2451	proton	2.178938	8.464208
2451	proton	0.781010	8.467849
2451	proton	0.006585	8.469249
2455	proton	1.919316	9.233555
2455	proton	0.445894	9.237036
2455	proton	0.006768	9.237843
2455	proton	0.000534	9.237987
2468	proton	0.059787	9.941429
2468	proton	0.004146	9.941733
2473	proton	0.777299	9.263996
2473	proton	0.001280	9.265389
2476	proton	0.080145	8.738960
2476	proton	0.004196	8.739282
2477	proton	0.010505	9.643606
2477	proton	0.000801	9.643795
2497	proton	1.134902	8.660261
2502	proton	1.643089	8.773373
2502	proton	0.022690	8.776529
2502	proton	0.004477	8.776797
2511	proton	2.224436	8.775317
2511	proton	0.838038	8.778978
2515	proton	0.083465	9.387391
2517	proton	1.869246	9.184016
2517	proton	0.307003	9.187453
2517	proton	0.005446	9.188044
2518	proton	0.000051	8.202314
2519	proton	1.582953	9.124444
2519	proton	0.012484	9.127495
2520	proton	2.066504	7.825690
2520	proton	0.646506	7.829274
2521	proton	0.360447	9.472734
2525	proton	0.455460	10.106133
2530	proton	0.133444	9.887502
2538	proton	0.028448	10.030495
2538	proton	2.162672	9.599729
2538	proton	0.725754	9.603363
2538	proton	0.001166	9.604660
2574	proton	1.625281	10.293680
2574	proton	0.005173	10.296806
2575	proton	0.764572	10.313377
2591	proton	1.788104	9.338242
2591	proton	0.205438	9.341595
2591	proton	0.004056	9.342049
2597	proton	0.011530	11.884409
2597	proton	2.498811	8.604510
2597	proton	1.177973	8.608254
2607	proton	1.845693	9.733656
2607	proton	0.331536	9.737071
2608	proton	2.103169	8.698805
2608	proton	0.643702	8.702409
2608	proton	0.027364	8.703556
2611	proton	0.792756	10.179884
2615	proton	2.157612	8.882059
2615	proton	0.737773	8.885691
2615	proton	0.002659	8.887010
2618	proton	1.315145	9.297007
2618	proton	0.014155	9.299483
2619	proton	1.272019	9.296835
2620	proton	2.194716	9.174949
2620	proton	0.762137	9.178597
2626	proton	1.399763	9.226365
2626	proton	0.045518	9.229023
2626	proton	0.001500	9.229315
2627	proton	0.451196	10.278552
2627	proton	0.002684	10.279367
2635	proton	1.095727	7.897699
2635	proton	0.014884	7.899717
2642	proton	0.801612	9.966858
2642	proton	1.082772	9.204728
2642	proton	0.020739	9.206720
2648	proton	2.220704	9.225248
2648	proton	0.818909	9.228907
2648	proton	0.001301	9.230379
2658	proton	0.675327	8.927420
2658	proton	0.000837	8.928624
2659	proton	0.044917	9.288019
2659	proton	0.001305	9.288311
2678	proton	2.165857	9.635524
2678	proton	0.773803	9.639160
2678	proton	0.007464	9.640546
2679	proton	0.337265	9.660065
2679	proton	0.014413	9.660701
2679	proton	2.294973	9.062054
2679	proton	0.915683	9.065741
2679	proton	0.021519	9.067399
2679	proton	0.001322	9.067665
2693	proton	0.462121	10.503783
2693	proton	0.002588	10.504616
2693	proton	1.028709	8.991624
2697	proton	0.096521	9.196444
2697	proton	0.001802	9.196780
2700	proton	0.909933	8.168888
2702	proton	1.696661	9.186974
2702	proton	0.086728	9.190211
2702	proton	0.007618	9.190538
2703	proton	2.373648	9.216297
2703	proton	0.991634	9.220009
2703	proton	0.023312	9.221817
2703	proton	0.000992	9.222086
2704	proton	0.238677	9.620592
2704	proton	0.002613	9.621088
2704	proton	1.886993	9.308224
2704	proton	0.356039	9.311677
2707	proton	1.642054	9.391577
2707	proton	0.009082	9.394731
2713	proton	2.370057	8.245894
2713	proton	1.022854	8.249605
2731	proton	0.001983	8.389914
2731	proton	2.731325	8.322140
2731	proton	1.493026	8.325925
2737	proton	1.737485	8.905781
2737	proton	0.138622	8.909073
2737	proton	0.005217	8.909450
2738	proton	3.251610	7.529643
2738	proton	2.077266	7.533474
2738	proton	0.636254	7.537064
2744	proton	0.439876	7.574021
2744	proton	0.008120	7.574818
2745	proton	0.618071	9.623093
2745	proton	0.019368	9.624195
2745	proton	0.000744	9.624458
2746	proton	0.426833	9.880168
2746	proton	0.003679	9.880944
2748	proton	2.061428	9.715179
2748	proton	0.621823	9.718760
2748	proton	0.012057	9.719868
2748	proton	0.002917	9.720068
2751	proton	0.028468	11.821643
2751	proton	2.092908	9.510015
2751	proton	0.637692	9.513614
2751	proton	0.009613	9.514751
2758	proton	1.188433	8.493086
2762	proton	1.166287	8.049947
2762	proton	0.005221	8.052110
2764	proton	1.559259	10.768627
2764	proton	0.586144	10.079141
2766	proton	1.756076	9.770416
2766	proton	0.151898	9.773732
